City,State,Query,Coordinates,Latitude,Longitude
Ankara,Nallıhan,Ankara Nallıhan,"40.1829134,31.3350763",40.1829134,31.3350763
Ankara,Mamak,Ankara Mamak,"39.9051794,32.9391603",39.9051794,32.9391603
Ankara,Kızılcahamam,Ankara Kızılcahamam,"40.4724404,32.6389593",40.4724404,32.6389593
Ankara,Keçiören,Ankara Keçiören,"40.0866271,32.7377414",40.0866271,32.7377414
Ankara,Kahramankazan,Ankara Kahramankazan,"40.2039251,32.6739538",40.2039251,32.6739538
Ankara,Çankaya,Ankara Çankaya,"39.7976012,32.8001509",39.7976012,32.8001509
Ankara,Güdül,Ankara Güdül,"40.2122101,32.24353",40.2122101,32.24353
Ankara,Haymana,Ankara Haymana,"39.4352192,32.4986693",39.4352192,32.4986693
Ankara,Altındağ,Ankara Altındağ,"39.9927835,32.9327406",39.9927835,32.9327406
Ankara,Bala,Ankara Bala,"40.0255303,31.5871133",40.0255303,31.5871133
Ankara,Beypazarı,Ankara Beypazarı,"40.1623893,31.9156734",40.1623893,31.9156734
Ankara,Çamlıdere,Ankara Çamlıdere,"40.4907721,32.4706272",40.4907721,32.4706272
Ankara,Ayaş,Ankara Ayaş,"40.0262077,32.0833008",40.0262077,32.0833008
Ankara,Çubuk,Ankara Çubuk,"40.2244078,32.7050958",40.2244078,32.7050958
Ankara,Elmadağ,Ankara Elmadağ,"39.9210386,33.2327539",39.9210386,33.2327539
Ankara,Etimesgut,Ankara Etimesgut,"39.8645985,32.5574409",39.8645985,32.5574409
Ankara,Evren,Ankara Evren,"39.0231897,33.8014819",39.0231897,33.8014819
Ankara,Gölbaşı,Ankara Gölbaşı,"39.785381,32.7945533",39.785381,32.7945533
Ankara,Akyurt,Ankara Akyurt,"40.1297234,33.0723864",40.1297234,33.0723864
Antalya,Kemer,Antalya Kemer,"36.6024097,30.5343788",36.6024097,30.5343788
Antalya,Serik,Antalya Serik,"36.9218108,31.0928428",36.9218108,31.0928428
Antalya,Muratpaşa,Antalya Muratpaşa,"36.7862313,31.1183171",36.7862313,31.1183171
Antalya,Kumluca,Antalya Kumluca,"36.3480408,30.2659839",36.3480408,30.2659839
Antalya,Korkuteli,Antalya Korkuteli,"37.0725582,30.1931483",37.0725582,30.1931483
Antalya,Konyaaltı,Antalya Konyaaltı,"36.897999,30.6768201",36.897999,30.6768201
Antalya,Kepez,Antalya Kepez,"36.897999,30.6768201",36.897999,30.6768201
Antalya,Kaş,Antalya Kaş,"36.2008645,29.644585",36.2008645,29.644585
Antalya,Manavgat,Antalya Manavgat,"36.7861212,31.4383398",36.7861212,31.4383398
Antalya,Gündoğmuş,Antalya Gündoğmuş,"36.8107008,31.9966908",36.8107008,31.9966908
Antalya,Gazipaşa,Antalya Gazipaşa,"36.2776709,32.3007313",36.2776709,32.3007313
Antalya,Finike,Antalya Finike,"36.3037523,30.1464383",36.3037523,30.1464383
Antalya,Elmalı,Antalya Elmalı,"36.7328738,29.9132443",36.7328738,29.9132443
Antalya,Döşemealtı,Antalya Döşemealtı,"37.0111744,30.5854541",37.0111744,30.5854541
Antalya,Demre,Antalya Demre,"36.2461099,29.9778568",36.2461099,29.9778568
Antalya,Alanya,Antalya Alanya,"36.5438357,31.9920096",36.5438357,31.9920096
Antalya,Aksu,Antalya Aksu,"36.9387356,30.8227299",36.9387356,30.8227299
Antalya,İbradı,Antalya İbradı,"37.0954538,31.5957748",37.0954538,31.5957748
Antalya,Akseki,Antalya Akseki,"37.044615,31.787927",37.044615,31.787927
Ardahan,Posof,Ardahan Posof,"41.507408,42.7256978",41.507408,42.7256978
Ardahan,Merkez,Ardahan Merkez,"41.069346,42.5397843",41.069346,42.5397843
Ardahan,Damal,Ardahan Damal,"41.3409389,42.839402",41.3409389,42.839402
Ardahan,Göle,Ardahan Göle,"40.7929269,42.6031914",40.7929269,42.6031914
Ardahan,Çıldır,Ardahan Çıldır,"41.1687207,43.1145533",41.1687207,43.1145533
Ardahan,Hanak,Ardahan Hanak,"41.236853,42.8408579",41.236853,42.8408579
Artvin,Şavşat,Artvin Şavşat,"41.2478384,42.3517104",41.2478384,42.3517104
Artvin,Yusufeli,Artvin Yusufeli,"40.8110463,41.5240256",40.8110463,41.5240256
Artvin,Murgul,Artvin Murgul,"41.2464016,41.4928754",41.2464016,41.4928754
Artvin,Borçka,Artvin Borçka,"41.3608999,41.6757299",41.3608999,41.6757299
