City,State,Query,Coordinates,Latitude,Longitude
Elazığ,Karakoçan,Elazığ Karakoçan,"38.9530802,40.0297838",38.9530802,40.0297838
Elazığ,Baskil,Elazığ Baskil,"38.5701018,38.8189904",38.5701018,38.8189904
Elazığ,Arıcak,Elazığ Arıcak,"38.5641261,40.1326012",38.5641261,40.1326012
Elazığ,Ağın,Elazığ Ağın,"38.9454879,38.5847124",38.9454879,38.5847124
Elazığ,Alacakaya,Elazığ Alacakaya,"38.4618397,39.8601867",38.4618397,39.8601867
Elazığ,Keban,Elazığ Keban,"38.7951747,38.7287208",38.7951747,38.7287208
Erzincan,Tercan,Erzincan Tercan,"39.7793095,40.3789643",39.7793095,40.3789643
Erzincan,Refahiye,Erzincan Refahiye,"39.9002155,38.7629403",39.9002155,38.7629403
Erzincan,Üzümlü,Erzincan Üzümlü,"39.6724618,39.7272543",39.6724618,39.7272543
Erzincan,Merkez,Erzincan Merkez,"39.7002844,39.0942865",39.7002844,39.0942865
Erzincan,Kemaliye,Erzincan Kemaliye,"39.2609431,38.4954147",39.2609431,38.4954147
Erzincan,Kemah,Erzincan Kemah,"39.4579242,38.5607622",39.4579242,38.5607622
Erzincan,İliç,Erzincan İliç,"39.4579242,38.5607622",39.4579242,38.5607622
Erzincan,Çayırlı,Erzincan Çayırlı,"39.8072556,40.0347765",39.8072556,40.0347765
Erzincan,Otlukbeli,Erzincan Otlukbeli,"39.9740351,40.0190164",39.9740351,40.0190164
Erzurum,Yakutiye,Erzurum Yakutiye,"39.9119585,41.2222316",39.9119585,41.2222316
Erzurum,Uzundere,Erzurum Uzundere,"40.530901,41.5447849",40.530901,41.5447849
Erzurum,Tortum,Erzurum Tortum,"40.2135399,41.1299256",40.2135399,41.1299256
Erzurum,Tekman,Erzurum Tekman,"39.6447101,41.5042477",39.6447101,41.5042477
Erzurum,Şenkaya,Erzurum Şenkaya,"40.5678449,42.341083",40.5678449,42.341083
Erzurum,Pazaryolu,Erzurum Pazaryolu,"40.4406473,40.6156499",40.4406473,40.6156499
Erzurum,Pasinler,Erzurum Pasinler,"39.97665,41.6546641",39.97665,41.6546641
Erzurum,Palandöken,Erzurum Palandöken,"39.9119585,41.2222316",39.9119585,41.2222316
Erzurum,Olur,Erzurum Olur,"40.8433705,41.9677734",40.8433705,41.9677734
Erzurum,İspir,Erzurum İspir,"40.486693,40.996588",40.486693,40.996588
Erzurum,Narman,Erzurum Narman,"40.3457074,41.8612888",40.3457074,41.8612888
Erzurum,Aşkale,Erzurum Aşkale,"39.9232115,40.6806053",39.9232115,40.6806053
Erzurum,Oltu,Erzurum Oltu,"40.5430508,41.9799302",40.5430508,41.9799302
Erzurum,Aziziye,Erzurum Aziziye,"39.9437845,41.0983998",39.9437845,41.0983998
Erzurum,Hınıs,Erzurum Hınıs,"39.3621581,41.6921794",39.3621581,41.6921794
Erzurum,Çat,Erzurum Çat,"39.6135592,40.9728859",39.6135592,40.9728859
Erzurum,Karaçoban,Erzurum Karaçoban,"39.3504686,42.0874833",39.3504686,42.0874833
Erzurum,Köprüköy,Erzurum Köprüköy,"39.970756,41.8566138",39.970756,41.8566138
Erzurum,Horasan,Erzurum Horasan,"40.0363145,42.1382201",40.0363145,42.1382201
Erzurum,Karayazı,Erzurum Karayazı,"39.7032521,42.1388909",39.7032521,42.1388909
Eskişehir,Sivrihisar,Eskişehir Sivrihisar,"39.4444742,31.5250839",39.4444742,31.5250839
Eskişehir,Tepebaşı,Eskişehir Tepebaşı,"39.7654457,30.4622439",39.7654457,30.4622439
Eskişehir,Seyitgazi,Eskişehir Seyitgazi,"39.4470956,30.6886994",39.4470956,30.6886994
Eskişehir,Sarıcakaya,Eskişehir Sarıcakaya,"40.0377771,30.6153364",40.0377771,30.6153364
Eskişehir,Mihalıççık,Eskişehir Mihalıççık,"39.8651606,31.4903189",39.8651606,31.4903189
Eskişehir,Odunpazarı,Eskişehir Odunpazarı,"39.7654457,30.4622439",39.7654457,30.4622439
Eskişehir,Mahmudiye,Eskişehir Mahmudiye,"39.4974485,30.9747119",39.4974485,30.9747119
Eskişehir,İnönü,Eskişehir İnönü,"39.7572667,30.0541104",39.7572667,30.0541104
Eskişehir,Han,Eskişehir Han,"39.1768015,30.7245199",39.1768015,30.7245199
Eskişehir,Günyüzü,Eskişehir Günyüzü,"39.3856547,31.806289",39.3856547,31.806289
Eskişehir,Çifteler,Eskişehir Çifteler,"39.3759426,31.0292753",39.3759426,31.0292753
Eskişehir,Beylikova,Eskişehir Beylikova,"39.6945521,31.1889893",39.6945521,31.1889893
Eskişehir,Alpu,Eskişehir Alpu,"39.770913,30.9500368",39.770913,30.9500368
Eskişehir,Mihalgazi,Eskişehir Mihalgazi,"40.0273971,30.5715709",40.0273971,30.5715709
Gaziantep,Yavuzeli,Gaziantep Yavuzeli,"37.3138135,37.560203",37.3138135,37.560203
Gaziantep,Şehitkamil,Gaziantep Şehitkamil,"37.0588328,37.338852",37.0588328,37.338852
Gaziantep,Şahinbey,Gaziantep Şahinbey,"37.0588328,37.338852",37.0588328,37.338852
Gaziantep,Nizip,Gaziantep Nizip,"37.007504,37.7717006",37.007504,37.7717006
Gaziantep,Nurdağı,Gaziantep Nurdağı,"37.1812076,36.7265403",37.1812076,36.7265403
Gaziantep,Karkamış,Gaziantep Karkamış,"36.8347145,37.9918259",36.8347145,37.9918259
Gaziantep,İslahiye,Gaziantep İslahiye,"37.0224152,36.6250762",37.0224152,36.6250762
Gaziantep,Araban,Gaziantep Araban,"37.4268666,37.6758673",37.4268666,37.6758673
Gaziantep,Oğuzeli,Gaziantep Oğuzeli,"36.962936,37.5079064",36.962936,37.5079064
Giresun,Alucra,Giresun Alucra,"40.323989,38.757025",40.323989,38.757025
Giresun,Bulancak,Giresun Bulancak,"40.9342391,38.1954231",40.9342391,38.1954231
Giresun,Çamoluk,Giresun Çamoluk,"40.1337995,38.7298708",40.1337995,38.7298708
Giresun,Çanakçı,Giresun Çanakçı,"40.9159823,38.9891443",40.9159823,38.9891443
Giresun,Doğankent,Giresun Doğankent,"40.8091931,38.9141496",40.8091931,38.9141496
Giresun,Dereli,Giresun Dereli,"40.740646,38.448435",40.740646,38.448435
Giresun,Yağlıdere,Giresun Yağlıdere,"40.8637525,38.6225841",40.8637525,38.6225841
Giresun,Tirebolu,Giresun Tirebolu,"41.0081195,38.8253775",41.0081195,38.8253775
Giresun,Şebinkarahisar,Giresun Şebinkarahisar,"40.2916674,38.4083723",40.2916674,38.4083723
Giresun,Piraziz,Giresun Piraziz,"40.952078,38.1165684",40.952078,38.1165684
Giresun,Eynesil,Giresun Eynesil,"41.053162,39.1125006",41.053162,39.1125006
Giresun,Keşap,Giresun Keşap,"40.8366554,38.4651644",40.8366554,38.4651644
Giresun,Güce,Giresun Güce,"40.8975067,38.7921383",40.8975067,38.7921383
Giresun,Görele,Giresun Görele,"41.0337016,38.9881344",41.0337016,38.9881344
Giresun,Espiye,Giresun Espiye,"40.9453962,38.6991592",40.9453962,38.6991592
Giresun,Merkez,Giresun Merkez,"40.7999655,38.3006765",40.7999655,38.3006765
Gümüşhane,Kelkit,Gümüşhane Kelkit,"40.1320859,39.4264774",40.1320859,39.4264774
Gümüşhane,Köse,Gümüşhane Köse,"40.2238292,39.6006608",40.2238292,39.6006608
Gümüşhane,Kürtün,Gümüşhane Kürtün,"40.7000145,39.0879178",40.7000145,39.0879178
Gümüşhane,Merkez,Gümüşhane Merkez,"40.493321,39.3623188",40.493321,39.3623188
Gümüşhane,Şiran,Gümüşhane Şiran,"40.1896743,39.1163694",40.1896743,39.1163694
Gümüşhane,Torul,Gümüşhane Torul,"40.5606785,39.289302",40.5606785,39.289302
Hakkari,Yüksekova,Hakkari Yüksekova,"37.5680811,44.2695774",37.5680811,44.2695774
Hakkari,Derecik,Hakkari Derecik,"37.0724391,44.3140268",37.0724391,44.3140268
Hakkari,Merkez,Hakkari Merkez,"37.5686932,43.3715737",37.5686932,43.3715737
Hakkari,Çukurca,Hakkari Çukurca,"37.3060074,43.4611582",37.3060074,43.4611582
Hakkari,Şemdinli,Hakkari Şemdinli,"37.2202628,44.3285641",37.2202628,44.3285641
Hatay,Kumlu,Hatay Kumlu,"36.3795743,36.3653483",36.3795743,36.3653483
Hatay,Yayladağı,Hatay Yayladağı,"35.9038984,36.0500404",35.9038984,36.0500404
Hatay,Samandağ,Hatay Samandağ,"36.0830289,35.9487555",36.0830289,35.9487555
Hatay,Reyhanlı,Hatay Reyhanlı,"36.2610264,36.5474541",36.2610264,36.5474541
Hatay,Payas,Hatay Payas,"36.7670141,36.1941537",36.7670141,36.1941537
Hatay,Kırıkhan,Hatay Kırıkhan,"36.5408479,36.3431598",36.5408479,36.3431598
Hatay,Defne,Hatay Defne,"36.1391892,36.0735951",36.1391892,36.0735951
Hatay,Hassa,Hatay Hassa,"36.8004732,36.5072593",36.8004732,36.5072593
Hatay,Erzin,Hatay Erzin,"36.954564,36.1783911",36.954564,36.1783911
Hatay,Dörtyol,Hatay Dörtyol,"36.8337611,36.2024752",36.8337611,36.2024752
Hatay,Belen,Hatay Belen,"36.4289037,36.0766993",36.4289037,36.0766993
Hatay,Arsuz,Hatay Arsuz,"36.4122908,35.8800008",36.4122908,35.8800008
Hatay,Antakya,Hatay Antakya,"36.2210872,36.1243441",36.2210872,36.1243441
Hatay,Altınözü,Hatay Altınözü,"36.1201259,36.2419299",36.1201259,36.2419299
Hatay,İskenderun,Hatay İskenderun,"36.5862039,36.117371",36.5862039,36.117371
Isparta,Yenişarbademli,Isparta Yenişarbademli,"37.7093699,31.3845009",37.7093699,31.3845009
Isparta,Yalvaç,Isparta Yalvaç,"38.2938208,31.1670258",38.2938208,31.1670258
Isparta,Uluborlu,Isparta Uluborlu,"38.0800399,30.4388254",38.0800399,30.4388254
Isparta,Sütçüler,Isparta Sütçüler,"37.5437662,30.9126522",37.5437662,30.9126522
Isparta,Senirkent,Isparta Senirkent,"38.1081944,30.5393323",38.1081944,30.5393323
Isparta,Şarkikaraağaç,Isparta Şarkikaraağaç,"37.7257851,30.4599339",37.7257851,30.4599339
Isparta,Keçiborlu,Isparta Keçiborlu,"37.9372265,30.2916623",37.9372265,30.2916623
Isparta,Merkez,Isparta Merkez,"37.7254714,30.4606207",37.7254714,30.4606207
Isparta,Eğirdir,Isparta Eğirdir,"37.877168,30.8254204",37.877168,30.8254204
Isparta,Gönen,Isparta Gönen,"37.9599762,30.5080584",37.9599762,30.5080584
Isparta,Gelendost,Isparta Gelendost,"38.0977226,30.8515012",38.0977226,30.8515012
Isparta,Aksu,Isparta Aksu,"37.8045945,31.0501498",37.8045945,31.0501498
Isparta,Atabey,Isparta Atabey,"37.9844924,30.5660219",37.9844924,30.5660219
Iğdır,Aralık,Iğdır Aralık,"39.8762935,44.5036049",39.8762935,44.5036049
Iğdır,Tuzluca,Iğdır Tuzluca,"40.043411,43.6466854",40.043411,43.6466854
Iğdır,Merkez,Iğdır Merkez,"39.8654783,43.8603019",39.8654783,43.8603019
Iğdır,Karakoyunlu,Iğdır Karakoyunlu,"39.9739616,44.1704189",39.9739616,44.1704189
Kahramanmaraş,Afşin,Kahramanmaraş Afşin,"38.2472749,36.8946466",38.2472749,36.8946466
Kahramanmaraş,Andırın,Kahramanmaraş Andırın,"37.5764728,36.345495",37.5764728,36.345495
Kahramanmaraş,Çağlayancerit,Kahramanmaraş Çağlayancerit,"37.7775561,37.1667127",37.7775561,37.1667127
Kahramanmaraş,Dulkadiroğlu,Kahramanmaraş Dulkadiroğlu,"37.5554913,36.8290213",37.5554913,36.8290213
Kahramanmaraş,Ekinözü,Kahramanmaraş Ekinözü,"37.997827,37.0377059",37.997827,37.0377059
Kahramanmaraş,Göksun,Kahramanmaraş Göksun,"38.0233654,36.4730785",38.0233654,36.4730785
Kahramanmaraş,Nurhak,Kahramanmaraş Nurhak,"37.9607495,37.4196581",37.9607495,37.4196581
Kahramanmaraş,Onikişubat,Kahramanmaraş Onikişubat,"37.5554913,36.8290213",37.5554913,36.8290213
Kahramanmaraş,Pazarcık,Kahramanmaraş Pazarcık,"37.485752,37.2874783",37.485752,37.2874783
Kahramanmaraş,Türkoğlu,Kahramanmaraş Türkoğlu,"37.3832027,36.8438638",37.3832027,36.8438638
Kahramanmaraş,Elbistan,Kahramanmaraş Elbistan,"38.2031082,37.1505386",38.2031082,37.1505386
Karabük,Yenice,Karabük Yenice,"41.165109,32.0852284",41.165109,32.0852284
Karabük,Safranbolu,Karabük Safranbolu,"41.2593254,32.6592917",41.2593254,32.6592917
Karabük,Ovacık,Karabük Ovacık,"41.075302,32.910721",41.075302,32.910721
Karabük,Eflani,Karabük Eflani,"41.4267544,32.9521249",41.4267544,32.9521249
Karabük,Eskipazar,Karabük Eskipazar,"40.9467142,32.5145908",40.9467142,32.5145908
Karabük,Merkez,Karabük Merkez,"41.1864209,32.4633565",41.1864209,32.4633565
Karaman,Ermenek,Karaman Ermenek,"36.6355068,32.8867952",36.6355068,32.8867952
Karaman,Kazımkarabekir,Karaman Kazımkarabekir,"37.2276441,32.9498043",37.2276441,32.9498043
Karaman,Merkez,Karaman Merkez,"37.1697013,32.9008792",37.1697013,32.9008792
Karaman,Sarıveliler,Karaman Sarıveliler,"36.6470043,32.5073314",36.6470043,32.5073314
Karaman,Ayrancı,Karaman Ayrancı,"37.359675,33.6813055",37.359675,33.6813055
Karaman,Başyayla,Karaman Başyayla,"36.7530485,32.679522",36.7530485,32.679522
Kars,Akyaka,Kars Akyaka,"40.792501,43.5153079",40.792501,43.5153079
Kars,Digor,Kars Digor,"40.3753824,43.4073203",40.3753824,43.4073203
Kars,Kağızman,Kars Kağızman,"40.1479207,42.7609841",40.1479207,42.7609841
Kars,Merkez,Kars Merkez,"40.5623243,42.9227922",40.5623243,42.9227922
Kars,Sarıkamış,Kars Sarıkamış,"40.3315454,42.5639987",40.3315454,42.5639987
Kars,Selim,Kars Selim,"40.4625869,42.7782363",40.4625869,42.7782363
Kars,Susuz,Kars Susuz,"40.7791321,43.1233601",40.7791321,43.1233601
Kars,Arpaçay,Kars Arpaçay,"40.849027,43.3250239",40.849027,43.3250239
Kastamonu,Devrekani,Kastamonu Devrekani,"41.6039119,33.8338479",41.6039119,33.8338479
Kastamonu,Hanönü,Kastamonu Hanönü,"41.6265311,34.4526238",41.6265311,34.4526238
Kastamonu,Abana,Kastamonu Abana,"41.9503895,34.0078136",41.9503895,34.0078136
Kastamonu,Ağlı,Kastamonu Ağlı,"41.687252,33.5499097",41.687252,33.5499097
Kastamonu,Araç,Kastamonu Araç,"41.2448932,33.3196483",41.2448932,33.3196483
Kastamonu,Azdavay,Kastamonu Azdavay,"41.6392409,33.2966344",41.6392409,33.2966344
Kastamonu,Bozkurt,Kastamonu Bozkurt,"41.8717948,33.957814",41.8717948,33.957814
Kastamonu,Çatalzeytin,Kastamonu Çatalzeytin,"41.8578998,34.1061499",41.8578998,34.1061499
Kastamonu,Doğanyurt,Kastamonu Doğanyurt,"42.0040094,33.4586382",42.0040094,33.4586382
Kastamonu,Cide,Kastamonu Cide,"41.8774454,32.9019645",41.8774454,32.9019645
Kastamonu,Daday,Kastamonu Daday,"41.4766386,33.4545437",41.4766386,33.4545437
Kastamonu,Taşköprü,Kastamonu Taşköprü,"41.5051034,34.2078014",41.5051034,34.2078014
Kastamonu,İhsangazi,Kastamonu İhsangazi,"41.20386,33.5517754",41.20386,33.5517754
Kastamonu,İnebolu,Kastamonu İnebolu,"41.9738651,33.7334442",41.9738651,33.7334442
Kastamonu,Küre,Kastamonu Küre,"41.8046001,33.4980915",41.8046001,33.4980915
Kastamonu,Merkez,Kastamonu Merkez,"41.3165524,33.6575889",41.3165524,33.6575889
Kastamonu,Pınarbaşı,Kastamonu Pınarbaşı,"41.628935,32.884628",41.628935,32.884628
Kastamonu,Şenpazar,Kastamonu Şenpazar,"41.8107945,33.2300398",41.8107945,33.2300398
Kastamonu,Seydiler,Kastamonu Seydiler,"41.6186259,33.7159185",41.6186259,33.7159185
Kastamonu,Tosya,Kastamonu Tosya,"41.0156635,34.0170297",41.0156635,34.0170297
Kayseri,Pınarbaşı,Kayseri Pınarbaşı,"38.7231238,36.3826428",38.7231238,36.3826428
Kayseri,Sarıoğlan,Kayseri Sarıoğlan,"39.1407278,35.8087162",39.1407278,35.8087162
Kayseri,Sarız,Kayseri Sarız,"38.4912723,36.3252182",38.4912723,36.3252182
Kayseri,Özvatan,Kayseri Özvatan,"39.12992,35.6542503",39.12992,35.6542503
Kayseri,Tomarza,Kayseri Tomarza,"38.4495574,35.7902313",38.4495574,35.7902313
Kayseri,Melikgazi,Kayseri Melikgazi,"38.7235059,35.3876165",38.7235059,35.3876165
Kayseri,Talas,Kayseri Talas,"38.6943172,35.5380391",38.6943172,35.5380391
Kayseri,Kocasinan,Kayseri Kocasinan,"38.7235059,35.3876165",38.7235059,35.3876165
Kayseri,Felahiye,Kayseri Felahiye,"39.0891388,35.5619705",39.0891388,35.5619705
Kayseri,Hacılar,Kayseri Hacılar,"38.6451033,35.4458719",38.6451033,35.4458719
Kayseri,Yahyalı,Kayseri Yahyalı,"38.1101394,35.3484029",38.1101394,35.3484029
Kayseri,Develi,Kayseri Develi,"38.3877242,35.4645091",38.3877242,35.4645091
Kayseri,Bünyan,Kayseri Bünyan,"38.8489508,35.8479533",38.8489508,35.8479533
Kayseri,Akkışla,Kayseri Akkışla,"38.9973918,36.1176764",38.9973918,36.1176764
Kayseri,İncesu,Kayseri İncesu,"38.6186797,35.0569657",38.6186797,35.0569657
Kayseri,Yeşilhisar,Kayseri Yeşilhisar,"38.3479119,35.0804799",38.3479119,35.0804799
Kilis,Merkez,Kilis Merkez,"36.7545205,36.8719016",36.7545205,36.8719016
Kilis,Musabeyli,Kilis Musabeyli,"36.8855423,36.9163437",36.8855423,36.9163437
Kilis,Polateli,Kilis Polateli,"36.8410991,37.1423024",36.8410991,37.1423024
Kilis,Elbeyli,Kilis Elbeyli,"36.6747407,37.4640102",36.6747407,37.4640102
Kocaeli,Çayırova,Kocaeli Çayırova,"40.8284166,29.3661042",40.8284166,29.3661042
Kocaeli,Körfez,Kocaeli Körfez,"40.7606397,29.7185665",40.7606397,29.7185665
Kocaeli,Kartepe,Kocaeli Kartepe,"40.7453157,30.0120511",40.7453157,30.0120511
Kocaeli,Karamürsel,Kocaeli Karamürsel,"40.6853232,29.5712706",40.6853232,29.5712706
Kocaeli,Kandıra,Kocaeli Kandıra,"41.073618,30.1301802",41.073618,30.1301802
Kocaeli,İzmit,Kocaeli İzmit,"40.7711716,29.8932161",40.7711716,29.8932161
Kocaeli,Gölcük,Kocaeli Gölcük,"40.6956222,29.7781934",40.6956222,29.7781934
Kocaeli,Dilovası,Kocaeli Dilovası,"40.7879002,29.5339064",40.7879002,29.5339064
Kocaeli,Derince,Kocaeli Derince,"40.7634501,29.8078607",40.7634501,29.8078607
Kocaeli,Darıca,Kocaeli Darıca,"40.7812897,29.338203",40.7812897,29.338203
Kocaeli,Başiskele,Kocaeli Başiskele,"40.6448543,29.869917",40.6448543,29.869917
Kocaeli,Gebze,Kocaeli Gebze,"40.8045691,29.3811516",40.8045691,29.3811516
Konya,Ereğli,Konya Ereğli,"37.5081324,34.0075156",37.5081324,34.0075156
Konya,Cihanbeyli,Konya Cihanbeyli,"38.6526938,32.8969266",38.6526938,32.8969266
Konya,Çumra,Konya Çumra,"37.5705072,32.7529202",37.5705072,32.7529202
Konya,Derbent,Konya Derbent,"38.0155918,32.0081573",38.0155918,32.0081573
Konya,Sarayönü,Konya Sarayönü,"38.2606139,32.3961384",38.2606139,32.3961384
Konya,Çeltik,Konya Çeltik,"39.0191162,31.7789992",39.0191162,31.7789992
Konya,Meram,Konya Meram,"37.8786132,32.4239119",37.8786132,32.4239119
Konya,Kulu,Konya Kulu,"39.0949345,33.0506237",39.0949345,33.0506237
Konya,Karatay,Konya Karatay,"37.9622412,32.6203625",37.9622412,32.6203625
Konya,Karapınar,Konya Karapınar,"37.7140466,33.5252146",37.7140466,33.5252146
Konya,Derebucak,Konya Derebucak,"37.4288373,31.3916062",37.4288373,31.3916062
Konya,Kadınhanı,Konya Kadınhanı,"38.2405519,32.2030263",38.2405519,32.2030263
Konya,Ilgın,Konya Ilgın,"38.2804844,31.8864477",38.2804844,31.8864477
Konya,Hüyük,Konya Hüyük,"37.9275384,31.4487762",37.9275384,31.4487762
Konya,Halkapınar,Konya Halkapınar,"37.4390544,34.1835904",37.4390544,34.1835904
Konya,Hadim,Konya Hadim,"36.986861,32.4496093",36.986861,32.4496093
Konya,Doğanhisar,Konya Doğanhisar,"38.1492154,31.6610993",38.1492154,31.6610993
Konya,Emirgazi,Konya Emirgazi,"37.9035765,33.8266424",37.9035765,33.8266424
Konya,Güneysınır,Konya Güneysınır,"37.2693134,32.7257665",37.2693134,32.7257665
Konya,Bozkır,Konya Bozkır,"37.1908866,32.2338794",37.1908866,32.2338794
Konya,Yunak,Konya Yunak,"38.8109278,31.7253407",38.8109278,31.7253407
Konya,Altınekin,Konya Altınekin,"38.3082779,32.8561079",38.3082779,32.8561079
Konya,Beyşehir,Konya Beyşehir,"37.6812125,31.7179233",37.6812125,31.7179233
Konya,Selçuklu,Konya Selçuklu,"37.8786132,32.4239119",37.8786132,32.4239119
Konya,Yalıhüyük,Konya Yalıhüyük,"37.2921101,32.0821583",37.2921101,32.0821583
Konya,Tuzlukçu,Konya Tuzlukçu,"38.4724019,31.6166337",38.4724019,31.6166337
Konya,Seydişehir,Konya Seydişehir,"37.4208303,31.8325396",37.4208303,31.8325396
Konya,Ahırlı,Konya Ahırlı,"37.2636275,32.0038989",37.2636275,32.0038989
Konya,Akören,Konya Akören,"37.4533164,32.3634934",37.4533164,32.3634934
Konya,Akşehir,Konya Akşehir,"38.3591803,31.4030846",38.3591803,31.4030846
Konya,Taşkent,Konya Taşkent,"36.9262338,32.4905768",36.9262338,32.4905768
Kütahya,Altıntaş,Kütahya Altıntaş,"39.0599248,30.1029824",39.0599248,30.1029824
Kütahya,Aslanapa,Kütahya Aslanapa,"39.2164642,29.8660235",39.2164642,29.8660235
Kütahya,Domaniç,Kütahya Domaniç,"39.7995831,29.605923",39.7995831,29.605923
Kütahya,Dumlupınar,Kütahya Dumlupınar,"39.7996938,29.5284915",39.7996938,29.5284915
Kütahya,Emet,Kütahya Emet,"39.3413686,29.249422",39.3413686,29.249422
Kütahya,Gediz,Kütahya Gediz,"38.9865027,29.3783053",38.9865027,29.3783053
Kütahya,Hisarcık,Kütahya Hisarcık,"39.2501286,29.2185038",39.2501286,29.2185038
Kütahya,Merkez,Kütahya Merkez,"39.410914,29.7681218",39.410914,29.7681218
Kütahya,Pazarlar,Kütahya Pazarlar,"38.9968732,29.1107379",38.9968732,29.1107379
Kütahya,Şaphane,Kütahya Şaphane,"39.0243827,29.2159244",39.0243827,29.2159244
Kütahya,Çavdarhisar,Kütahya Çavdarhisar,"39.1964782,29.6100784",39.1964782,29.6100784
Kütahya,Tavşanlı,Kütahya Tavşanlı,"39.5519232,29.4776517",39.5519232,29.4776517
Kütahya,Simav,Kütahya Simav,"39.0915755,28.9638887",39.0915755,28.9638887
Kırklareli,Vize,Kırklareli Vize,"41.6001811,27.701472",41.6001811,27.701472
Kırklareli,Pınarhisar,Kırklareli Pınarhisar,"41.6579038,27.355231",41.6579038,27.355231
Kırklareli,Pehlivanköy,Kırklareli Pehlivanköy,"41.3493571,26.9109568",41.3493571,26.9109568
Kırklareli,Merkez,Kırklareli Merkez,"41.8125341,27.0632319",41.8125341,27.0632319
Kırklareli,Lüleburgaz,Kırklareli Lüleburgaz,"41.4043393,27.3381266",41.4043393,27.3381266
Kırklareli,Kofçaz,Kırklareli Kofçaz,"41.945352,27.1550957",41.945352,27.1550957
Kırklareli,Demirköy,Kırklareli Demirköy,"41.825375,27.7606528",41.825375,27.7606528
Kırklareli,Babaeski,Kırklareli Babaeski,"41.4255389,27.0715521",41.4255389,27.0715521
Kırıkkale,Yahşihan,Kırıkkale Yahşihan,"39.8792355,33.3318609",39.8792355,33.3318609
Kırıkkale,Sulakyurt,Kırıkkale Sulakyurt,"40.1615661,33.7127089",40.1615661,33.7127089
Kırıkkale,Merkez,Kırıkkale Merkez,"39.8989819,33.4535424",39.8989819,33.4535424
Kırıkkale,Keskin,Kırıkkale Keskin,"39.6756966,33.6031423",39.6756966,33.6031423
Kırıkkale,Karakeçili,Kırıkkale Karakeçili,"39.5944421,33.3714663",39.5944421,33.3714663
Kırıkkale,Delice,Kırıkkale Delice,"39.9459951,34.0260594",39.9459951,34.0260594
Kırıkkale,Bahşılı,Kırıkkale Bahşılı,"39.8063555,33.4540003",39.8063555,33.4540003
Kırıkkale,Balışeyh,Kırıkkale Balışeyh,"39.9143631,33.7150284",39.9143631,33.7150284
Kırıkkale,Çelebi,Kırıkkale Çelebi,"39.4629201,33.5195634",39.4629201,33.5195634
Kırşehir,Akçakent,Kırşehir Akçakent,"39.6247121,34.0952932",39.6247121,34.0952932
Kırşehir,Mucur,Kırşehir Mucur,"39.0581162,34.3701843",39.0581162,34.3701843
Kırşehir,Merkez,Kırşehir Merkez,"39.1720732,33.8408868",39.1720732,33.8408868
Kırşehir,Kaman,Kırşehir Kaman,"39.3217044,33.5281843",39.3217044,33.5281843
Kırşehir,Çiçekdağı,Kırşehir Çiçekdağı,"39.5768918,34.1848843",39.5768918,34.1848843
Kırşehir,Boztepe,Kırşehir Boztepe,"39.2692407,34.2546412",39.2692407,34.2546412
Kırşehir,Akpınar,Kırşehir Akpınar,"39.4873762,33.7805933",39.4873762,33.7805933
Malatya,Kuluncak,Malatya Kuluncak,"38.8511062,37.5745719",38.8511062,37.5745719
Malatya,Yeşilyurt,Malatya Yeşilyurt,"38.3068303,38.2398806",38.3068303,38.2398806
Malatya,Kale,Malatya Kale,"38.3640761,38.6954663",38.3640761,38.6954663
Malatya,Pütürge,Malatya Pütürge,"38.1785568,38.6809162",38.1785568,38.6809162
Malatya,Akçadağ,Malatya Akçadağ,"38.3786158,37.6991793",38.3786158,37.6991793
Malatya,Arapgir,Malatya Arapgir,"39.0394203,38.4788078",39.0394203,38.4788078
Malatya,Arguvan,Malatya Arguvan,"38.7833248,38.2579415",38.7833248,38.2579415
Malatya,Battalgazi,Malatya Battalgazi,"38.3530137,38.1933869",38.3530137,38.1933869
Malatya,Darende,Malatya Darende,"38.5551108,37.4894983",38.5551108,37.4894983
Malatya,Doğanşehir,Malatya Doğanşehir,"38.0926575,37.8722372",38.0926575,37.8722372
Malatya,Doğanyol,Malatya Doğanyol,"38.3127878,39.0305065",38.3127878,39.0305065
Malatya,Hekimhan,Malatya Hekimhan,"38.8172002,37.9267174",38.8172002,37.9267174
Malatya,Yazıhan,Malatya Yazıhan,"38.5960913,38.1771769",38.5960913,38.1771769
Manisa,Soma,Manisa Soma,"39.1845852,27.560828",39.1845852,27.560828
Manisa,Yunusemre,Manisa Yunusemre,"38.7350172,27.1179258",38.7350172,27.1179258
Manisa,Turgutlu,Manisa Turgutlu,"38.4923414,27.6536185",38.4923414,27.6536185
Manisa,Selendi,Manisa Selendi,"38.7450762,28.8556604",38.7450762,28.8556604
Manisa,Alaşehir,Manisa Alaşehir,"38.3569614,28.5070771",38.3569614,28.5070771
Manisa,Saruhanlı,Manisa Saruhanlı,"38.7292541,27.5429086",38.7292541,27.5429086
Manisa,Sarıgöl,Manisa Sarıgöl,"38.2386003,28.6722057",38.2386003,28.6722057
Manisa,Salihli,Manisa Salihli,"38.4866539,28.0980765",38.4866539,28.0980765
Manisa,Şehzadeler,Manisa Şehzadeler,"38.6238163,27.3523716",38.6238163,27.3523716
Manisa,Köprübaşı,Manisa Köprübaşı,"38.7736629,28.2666268",38.7736629,28.2666268
